学校名,所在地,設置,T_,B1_T,B1_M,B1_F,B1_U,B2_T,B2_M,B2_F,B2_U,B3_T,B3_M,B3_F,B3_U,R1_T,R1_M,R1_F,R1_U,R2_T,R2_M,R2_F,R2_U,R3_T,R3_M,R3_F,R3_U,設置_meta,共別,中高,year,B_M,B_F,R_M,R_F,卒数
旭丘,愛知,県,24,7,6,1,0,3,3,0,0,0,0,0,0,9,8,1,0,3,2,1,0,2,2,0,0,1,共,―,1980,9,1,12,2,
安積,福島,県,6,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,男,―,1980,3,0,3,0,
宇都宮,栃木,県,14,2,2,0,0,2,2,0,0,3,3,0,0,5,5,0,0,2,2,0,0,0,0,0,0,1,男,―,1980,7,0,7,0,
浦和,埼玉,県,58,5,5,0,0,11,11,0,0,7,7,0,0,25,25,0,0,10,10,0,0,0,0,0,0,1,男,―,1980,23,0,35,0,
浦和第一女子,埼玉,県,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,女,―,1980,0,1,0,2,
横須賀,神奈川,県,8,1,1,0,0,0,0,0,0,3,3,0,0,3,2,0,1,1,1,0,0,0,0,0,0,1,共,―,1980,4,0,3,0,
横浜翠嵐,神奈川,県,15,1,1,0,0,2,2,0,0,4,3,1,0,1,1,0,0,7,6,1,0,0,0,0,0,1,共,―,1980,6,1,7,1,
横浜緑ケ丘,神奈川,県,6,0,0,0,0,1,1,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,1,0,5,0,
岡崎,愛知,県,11,2,2,0,0,0,0,0,0,1,1,0,0,6,6,0,0,2,2,0,0,0,0,0,0,1,共,―,1980,3,0,8,0,
岡崎北,愛知,県,7,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,3,0,4,0,
岡山操山,岡山,県,9,1,1,0,0,1,1,0,0,2,1,0,1,2,2,0,0,3,1,2,0,0,0,0,0,1,共,―,1980,3,0,3,2,
岡山大安寺,岡山,県,9,1,1,0,0,2,2,0,0,2,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,5,0,4,0,
岡山朝日,岡山,県,14,1,1,0,0,0,0,0,0,3,0,3,0,8,8,0,0,2,1,1,0,0,0,0,0,1,共,―,1980,1,3,9,1,
岡山芳泉,岡山,県,7,1,1,0,0,1,1,0,0,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,2,1,4,0,
下関西,山口,県,6,3,3,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,4,0,2,0,
