,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,1980s,1990s,1980s-10,1990s-10
関東公立 - ①共学 合格者数,590,603,610,555,564,553,552,537,583,565,583,541,481,478,421,397,335,396,292,328,571.2,425.2,5712,4252
    i うち男子,510,505,530,464,476,475,467,424,482,460,481,428,369,370,329,293,247,282,206,250,479.3,325.5,4793,3255
    ii うち女子,80,98,80,91,88,78,85,113,101,105,102,113,112,108,92,104,88,114,86,78,91.9,99.7,919,997
関東公立 - ②共学 理系,331,346,329,322,342,312,306,298,314,333,349,308,263,275,241,198,195,221,168,191,323.3,240.9,3233,2409
    i うち男子,295,294,292,272,300,271,269,247,280,287,303,260,214,225,199,166,155,177,128,152,280.7,197.9,2807,1979
    ii うち女子,36,52,37,50,42,41,37,51,34,46,46,48,49,50,42,32,40,44,40,39,42.6,43,426,430
関東公立 - ③共学 文系,259,257,281,233,222,241,246,239,269,232,234,233,218,203,180,199,140,175,124,137,247.9,184.3,2479,1843
    i うち男子,215,211,238,192,176,204,198,177,202,173,178,168,155,145,130,127,92,105,78,98,198.6,127.6,1986,1276
    ii うち女子,44,46,43,41,46,37,48,62,67,59,56,65,63,58,50,72,48,70,46,39,49.3,56.7,493,567
関東公立 - ④別学 合格者数,240,239,234,250,208,232,256,256,229,245,282,233,242,250,255,269,231,244,206,241,238.9,245.3,2389,2453
    i うち男子,233,221,216,238,199,210,234,229,207,211,240,210,218,206,228,245,211,200,177,225,219.8,216,2198,2160
    ii うち女子,7,18,18,12,9,22,22,27,22,34,42,23,24,44,27,24,20,44,29,16,19.1,29.3,191,293
関東公立 - ⑤別学 理系,128,125,123,133,101,120,130,121,117,133,154,134,128,129,143,163,135,140,124,120,123.1,137,1231,1370
    i うち男子,124,116,110,126,97,109,119,112,107,113,136,128,120,114,133,152,127,128,110,115,113.3,126.3,1133,1263
    ii うち女子,4,9,13,7,4,11,11,9,10,20,18,6,8,15,10,11,8,12,14,5,9.8,10.7,98,107
関東公立 - ⑥別学 文系,112,114,111,117,107,112,126,135,112,112,128,99,114,121,112,106,96,104,82,121,115.8,108.3,1158,1083
    i うち男子,109,105,106,112,102,101,115,117,100,98,104,82,98,92,95,93,84,72,67,110,106.5,89.7,1065,897
    ii うち女子,3,9,5,5,5,11,11,18,12,14,24,17,16,29,17,13,12,32,15,11,9.3,18.6,93,186
関東公立 - ⑦全体 合格者数,830,842,844,805,772,785,808,793,812,810,865,774,723,728,676,666,566,640,498,569,810.1,670.5,8101,6705
    i うち男子,743,726,746,702,675,685,701,653,689,671,721,638,587,576,557,538,458,482,383,475,699.1,541.5,6991,5415
    ii うち女子,87,116,98,103,97,100,107,140,123,139,144,136,136,152,119,128,108,158,115,94,111,129,1110,1290
関東私立 - ①共学 合格者数,0,0,4,6,0,4,17,0,14,23,35,27,47,57,30,30,50,58,50,66,6.8,45,68,450
    i うち男子,0,0,2,6,0,4,14,0,12,16,23,24,36,41,15,17,37,42,39,49,5.4,32.3,54,323
